call_id,customer_id,order_id,call_type,call_start_time,call_duration_secs,vet_transfer_success
CALL000031,5378,ST2025007921,Free UCJ Consult,2024-11-30 16:49:00,643,True
CALL000032,9879,ST2025001012,Paid Vet Consult,2024-10-18 10:22:00,1022,True
CALL000033,6397,ST2025006884,Paid Vet Consult,2024-01-03 23:49:00,1390,True
CALL000034,8880,ST2025002153,Free UCJ Consult,2024-04-13 18:10:00,636,True
CALL000035,9734,ST2025001916,Free UCJ Consult,2024-07-02 12:53:00,1594,True
CALL000036,6273,ST2025001393,Free UCJ Consult,2024-08-09 06:24:00,1529,True
CALL000037,3441,ST2025000810,Free UCJ Consult,2024-09-13 15:32:00,1053,False
CALL000038,8028,ST2025008397,Free UCJ Consult,2024-04-04 23:48:00,1770,True
CALL000039,6299,ST2025005644,Free UCJ Consult,2024-12-19 06:15:00,969,False
CALL000040,7159,ST2025003059,Paid Vet Consult,2024-11-30 12:26:00,1109,True
CALL000041,6897,ST2025003927,Free UCJ Consult,2024-10-12 01:45:00,1643,True
CALL000042,4775,ST2025001859,Paid Vet Consult,2024-04-15 03:07:00,1560,True
CALL000043,6959,ST2025004035,Free UCJ Consult,2024-05-05 10:50:00,604,False
CALL000044,8229,ST2025000942,Free UCJ Consult,2024-04-20 04:11:00,1479,False
CALL000045,2447,ST2025001274,Paid Vet Consult,2024-04-09 06:21:00,1261,True
CALL000046,1956,ST2025002744,Free UCJ Consult,2024-08-08 14:16:00,1604,True
CALL000047,6574,ST2025002590,Free UCJ Consult,2024-04-07 23:56:00,1708,False
CALL000048,3256,ST2025002229,Free UCJ Consult,2024-03-17 05:52:00,1030,False
CALL000049,6172,ST2025000560,Paid Vet Consult,2024-02-22 11:00:00,1226,True
CALL000050,1242,ST2025002962,Free UCJ Consult,2024-07-02 21:17:00,689,False
CALL000051,4814,ST2025006107,Free UCJ Consult,2024-05-16 06:40:00,801,True
CALL000052,3001,ST2025007825,Free UCJ Consult,2024-06-28 09:28:00,1106,True
CALL000053,7766,ST2025001703,Free UCJ Consult,2024-04-20 08:52:00,1084,True
CALL000054,4083,ST2025002826,Free UCJ Consult,2024-07-01 20:01:00,1469,False
CALL000055,3148,ST2025000969,Free UCJ Consult,2024-08-08 10:14:00,1023,False
CALL000056,9768,ST2025008374,Paid Vet Consult,2024-07-04 19:43:00,782,True
CALL000057,5307,ST2025004873,Free UCJ Consult,2024-03-05 19:36:00,1531,True
CALL000058,9836,ST2025001825,Free UCJ Consult,2024-05-27 22:02:00,606,True
CALL000059,8509,ST2025001288,Free UCJ Consult,2024-03-23 22:41:00,1323,True
CALL000060,7982,ST2025007807,Free UCJ Consult,2024-02-06 00:41:00,728,True
CALL000061,8042,ST2025007416,Free UCJ Consult,2024-05-10 00:44:00,1634,False
CALL000062,2689,ST2025003012,Paid Vet Consult,2024-09-25 07:44:00,264,False
CALL000063,5370,ST2025001701,Free UCJ Consult,2024-03-03 17:12:00,905,True
CALL000064,5555,ST2025000447,Free UCJ Consult,2024-02-03 18:04:00,1589,True
CALL000065,6688,ST2025005273,Free UCJ Consult,2024-10-02 05:52:00,1198,True
CALL000066,5615,ST2025004640,Paid Vet Consult,2024-11-09 20:08:00,1480,False
CALL000067,4092,ST2025002730,Free UCJ Consult,2024-09-02 15:19:00,1453,True
CALL000068,4932,ST2025009333,Free UCJ Consult,2024-09-23 11:06:00,234,True
CALL000069,5090,ST2025008273,Free UCJ Consult,2024-03-18 23:16:00,1167,True
CALL000070,1080,ST2025005368,Free UCJ Consult,2024-09-14 23:41:00,1644,True
CALL000071,7228,ST2025007761,Free UCJ Consult,2024-05-18 03:34:00,1771,False
CALL000072,2519,ST2025005612,Free UCJ Consult,2024-09-30 04:15:00,293,True
CALL000073,9047,ST2025008666,Free UCJ Consult,2024-10-22 20:32:00,1455,True
CALL000074,4086,ST2025009395,Free UCJ Consult,2024-03-19 17:41:00,1657,True
CALL000075,7665,ST2025007268,Free UCJ Consult,2024-09-25 00:47:00,875,False
CALL000076,9880,ST2025004717,Free UCJ Consult,2024-04-27 12:18:00,996,False
CALL000077,6722,ST2025007940,Free UCJ Consult,2024-09-02 12:08:00,1761,True
CALL000078,7287,ST2025004952,Free UCJ Consult,2024-11-18 16:38:00,1259,True
CALL000079,6618,ST2025002842,Free UCJ Consult,2024-12-24 03:49:00,279,True
CALL000080,8509,ST2025009189,Free UCJ Consult,2024-11-22 22:04:00,843,True
CALL000081,4581,ST2025006254,Free UCJ Consult,2024-01-30 20:47:00,1438,False
CALL000082,4409,ST2025008903,Free UCJ Consult,2024-04-17 06:34:00,532,True
CALL000083,3738,ST2025007905,Free UCJ Consult,2024-04-15 03:38:00,815,True
CALL000084,6322,ST2025000879,Free UCJ Consult,2024-08-01 16:41:00,523,True
CALL000085,9768,ST2025005305,Paid Vet Consult,2024-11-14 21:59:00,564,False
CALL000086,8189,ST2025004480,Free UCJ Consult,2024-01-19 05:47:00,411,True
CALL000087,1674,ST2025003504,Free UCJ Consult,2024-12-16 02:43:00,449,True
CALL000088,5875,ST2025003373,Free UCJ Consult,2024-09-28 09:34:00,673,True
CALL000089,6031,ST2025000365,Free UCJ Consult,2024-01-13 10:29:00,1013,False
CALL000090,6622,ST2025000771,Free UCJ Consult,2024-09-01 08:43:00,1594,True
CALL000091,9226,ST2025008172,Free UCJ Consult,2024-02-20 10:47:00,1545,False
CALL000092,7327,ST2025009886,Free UCJ Consult,2024-02-25 08:44:00,1298,True
CALL000093,5182,ST2025007663,Paid Vet Consult,2024-03-10 23:25:00,680,False
CALL000094,9820,ST2025002846,Paid Vet Consult,2024-12-18 15:34:00,1357,True
CALL000095,1595,ST2025003068,Free UCJ Consult,2024-12-17 14:04:00,346,True
CALL000096,9498,ST2025004641,Free UCJ Consult,2024-01-10 21:11:00,1575,True
CALL000097,3743,ST2025004237,Free UCJ Consult,2024-09-30 01:21:00,503,True
CALL000098,1584,ST2025007451,Free UCJ Consult,2024-03-09 13:03:00,1153,True
CALL000099,5117,ST2025001990,Paid Vet Consult,2024-08-11 22:58:00,101,True
CALL000100,6285,ST2025004692,Free UCJ Consult,2024-01-21 15:40:00,911,True
CALL000101,9070,ST2025008353,Free UCJ Consult,2024-12-01 02:59:00,907,True
CALL000102,4343,ST2025004435,Free UCJ Consult,2024-03-20 06:39:00,1569,True
CALL000103,3896,ST2025005196,Free UCJ Consult,2024-03-27 23:11:00,763,False
CALL000104,9662,ST2025003130,Free UCJ Consult,2024-01-06 17:51:00,1625,True
CALL000105,2629,ST2025000221,Free UCJ Consult,2024-09-28 09:37:00,266,False
CALL000106,1825,ST2025001449,Free UCJ Consult,2024-12-17 05:49:00,784,True
CALL000107,7041,ST2025003967,Paid Vet Consult,2024-10-13 15:31:00,230,False
CALL000108,9793,ST2025001822,Free UCJ Consult,2024-07-26 18:33:00,447,False
CALL000109,7683,ST2025006588,Paid Vet Consult,2024-02-18 19:02:00,273,True
CALL000110,9633,ST2025004924,Free UCJ Consult,2024-06-01 21:14:00,1536,True
CALL000111,9728,ST2025001813,Free UCJ Consult,2024-06-28 08:05:00,1677,False
CALL000112,5005,ST2025007201,Free UCJ Consult,2024-12-12 17:41:00,1352,True
CALL000113,5274,ST2025007502,Paid Vet Consult,2024-06-30 10:29:00,1038,True
CALL000114,6823,ST2025002090,Free UCJ Consult,2024-06-25 00:21:00,645,True
CALL000115,7160,ST2025000006,Paid Vet Consult,2024-12-03 15:12:00,346,False
CALL000116,5419,ST2025000121,Free UCJ Consult,2024-01-24 19:24:00,217,False
CALL000117,2344,ST2025009329,Paid Vet Consult,2024-04-06 12:57:00,1530,True
CALL000118,6585,ST2025003458,Paid Vet Consult,2024-12-19 04:45:00,1109,True
CALL000119,7284,ST2025000791,Free UCJ Consult,2024-07-31 03:25:00,205,False
CALL000120,3792,ST2025009345,Free UCJ Consult,2024-03-28 18:00:00,620,True
CALL000121,8855,ST2025005372,Free UCJ Consult,2024-10-07 18:33:00,251,True
CALL000122,1597,ST2025007902,Free UCJ Consult,2024-09-29 10:08:00,1170,False
CALL000123,2629,ST2025000939,Free UCJ Consult,2024-02-27 05:40:00,95,True
CALL000124,2645,ST2025002092,Free UCJ Consult,2024-04-12 05:00:00,405,False
CALL000125,4457,ST2025007631,Free UCJ Consult,2024-12-05 07:16:00,851,False
CALL000126,4305,ST2025000453,Free UCJ Consult,2024-08-06 23:44:00,1435,False
CALL000127,9634,ST2025002612,Paid Vet Consult,2024-04-24 21:05:00,116,True
CALL000128,7751,ST2025009226,Free UCJ Consult,2024-01-15 15:08:00,1306,False
CALL000129,8364,ST2025000996,Paid Vet Consult,2024-05-28 03:05:00,178,False
CALL000130,8935,ST2025009024,Free UCJ Consult,2024-09-10 18:53:00,1295,True
CALL000131,6499,ST2025005432,Free UCJ Consult,2024-04-14 07:55:00,132,False
CALL000132,2630,ST2025007344,Free UCJ Consult,2024-10-20 08:37:00,1449,True
CALL000133,1258,ST2025006368,Paid Vet Consult,2024-04-27 23:08:00,1152,False
CALL000134,6255,ST2025005831,Free UCJ Consult,2024-10-29 23:57:00,946,True
CALL000135,4300,ST2025004524,Free UCJ Consult,2024-10-07 01:13:00,321,False
CALL000136,5938,ST2025007297,Paid Vet Consult,2024-10-06 11:27:00,1390,True
CALL000137,1596,ST2025004454,Free UCJ Consult,2024-03-11 01:51:00,1022,True
CALL000138,1737,ST2025000797,Free UCJ Consult,2024-10-02 12:17:00,1700,True
CALL000139,2507,ST2025004005,Free UCJ Consult,2024-10-14 18:39:00,1037,True
CALL000140,5424,ST2025004297,Free UCJ Consult,2024-08-28 21:05:00,1572,True
CALL000141,4176,ST2025009621,Paid Vet Consult,2024-11-15 15:31:00,1774,False
CALL000142,6755,ST2025000505,Free UCJ Consult,2024-06-30 12:42:00,636,False
CALL000143,3750,ST2025002391,Paid Vet Consult,2024-06-04 03:24:00,534,False
CALL000144,7295,ST2025001782,Free UCJ Consult,2024-05-04 12:58:00,643,True
CALL000145,9903,ST2025008208,Free UCJ Consult,2024-02-04 14:53:00,1223,True
CALL000146,7121,ST2025001110,Free UCJ Consult,2024-10-28 17:49:00,401,True
CALL000147,5675,ST2025000898,Free UCJ Consult,2024-12-14 18:35:00,1259,False
CALL000148,6840,ST2025006535,Free UCJ Consult,2024-09-21 21:29:00,671,True
CALL000149,3711,ST2025001487,Free UCJ Consult,2024-10-11 21:40:00,1380,True
CALL000150,8329,ST2025006502,Free UCJ Consult,2024-04-17 13:38:00,1728,True
CALL000151,9328,ST2025002212,Free UCJ Consult,2024-08-08 12:17:00,851,True
CALL000152,8851,ST2025005547,Free UCJ Consult,2024-10-30 01:38:00,410,True
CALL000153,6027,ST2025002399,Free UCJ Consult,2024-10-26 15:00:00,1097,True
CALL000154,9411,ST2025001989,Free UCJ Consult,2024-03-30 22:15:00,146,False
CALL000155,3031,ST2025006386,Free UCJ Consult,2024-11-28 04:07:00,269,False
CALL000156,6154,ST2025003130,Free UCJ Consult,2024-04-22 20:59:00,1245,True
CALL000157,8002,ST2025009422,Paid Vet Consult,2024-07-18 01:49:00,287,True
CALL000158,3898,ST2025005619,Free UCJ Consult,2024-06-27 19:20:00,1756,True
CALL000159,4793,ST2025004631,Free UCJ Consult,2024-01-07 20:52:00,1568,True
CALL000160,7038,ST2025007099,Free UCJ Consult,2024-12-27 03:25:00,823,True
CALL000161,9869,ST2025001079,Free UCJ Consult,2024-11-15 05:35:00,769,True
CALL000162,3023,ST2025004370,Free UCJ Consult,2024-07-20 13:34:00,1603,False
CALL000163,5675,ST2025004986,Free UCJ Consult,2024-07-04 20:15:00,1722,True
CALL000164,1988,ST2025005203,Free UCJ Consult,2024-01-22 07:23:00,775,True
CALL000165,2102,ST2025001245,Free UCJ Consult,2024-05-04 16:27:00,293,True
CALL000166,4718,ST2025001093,Free UCJ Consult,2024-09-18 16:54:00,1095,True
CALL000167,5992,ST2025008552,Free UCJ Consult,2024-12-19 06:49:00,494,True
CALL000168,4629,ST2025005115,Free UCJ Consult,2024-07-26 11:16:00,1488,False
CALL000169,5765,ST2025004257,Paid Vet Consult,2024-06-26 20:25:00,540,False
CALL000170,7691,ST2025008827,Free UCJ Consult,2024-09-30 20:30:00,760,True
CALL000171,4607,ST2025002077,Free UCJ Consult,2024-05-11 05:01:00,823,False
CALL000172,3660,ST2025006108,Free UCJ Consult,2024-03-09 20:07:00,1262,True
CALL000173,2802,ST2025004372,Free UCJ Consult,2024-01-08 07:25:00,484,True
CALL000174,1570,ST2025000730,Free UCJ Consult,2024-10-09 01:04:00,1345,False
CALL000175,2132,ST2025006022,Free UCJ Consult,2024-04-18 05:55:00,1676,True
CALL000176,4748,ST2025009848,Free UCJ Consult,2024-09-14 04:06:00,1638,False
CALL000177,5780,ST2025001742,Free UCJ Consult,2024-09-18 18:13:00,644,True
CALL000178,3000,ST2025000062,Paid Vet Consult,2024-11-21 23:57:00,390,False
CALL000179,8594,ST2025005377,Free UCJ Consult,2024-08-31 04:11:00,80,False
CALL000180,4535,ST2025007801,Free UCJ Consult,2024-07-31 21:57:00,1605,False
CALL000181,2212,ST2025007492,Free UCJ Consult,2024-10-30 10:17:00,1551,True
CALL000182,1692,ST2025002279,Free UCJ Consult,2024-11-22 04:49:00,1311,True
CALL000183,8080,ST2025004199,Free UCJ Consult,2024-03-18 15:01:00,77,False
CALL000184,3102,ST2025008725,Free UCJ Consult,2024-01-26 05:51:00,1196,True
CALL000185,9080,ST2025006523,Free UCJ Consult,2024-11-06 18:03:00,289,False
CALL000186,3841,ST2025002040,Free UCJ Consult,2024-01-07 01:08:00,336,True
CALL000187,2556,ST2025009314,Free UCJ Consult,2024-05-14 09:40:00,549,False
CALL000188,2673,ST2025009260,Paid Vet Consult,2024-03-01 10:40:00,1139,True
CALL000189,4255,ST2025007074,Free UCJ Consult,2024-12-23 10:51:00,165,False
CALL000190,8987,ST2025002462,Free UCJ Consult,2024-11-25 00:12:00,915,True
CALL000191,6315,ST2025008302,Free UCJ Consult,2024-06-26 08:29:00,769,True
CALL000192,9090,ST2025004214,Free UCJ Consult,2024-03-26 19:17:00,1238,True
CALL000193,4683,ST2025006864,Free UCJ Consult,2024-06-03 05:47:00,1137,True
CALL000194,3763,ST2025006115,Free UCJ Consult,2024-11-06 02:35:00,197,False
CALL000195,8069,ST2025002303,Free UCJ Consult,2024-03-31 18:19:00,495,False
CALL000196,6316,ST2025001011,Free UCJ Consult,2024-02-04 05:41:00,1567,True
CALL000197,1737,ST2025000145,Paid Vet Consult,2024-11-23 20:59:00,64,True
CALL000198,3309,ST2025007721,Free UCJ Consult,2024-09-08 14:47:00,884,False
CALL000199,2129,ST2025000741,Free UCJ Consult,2024-04-01 12:48:00,872,True
CALL000200,9683,ST2025005300,Free UCJ Consult,2024-01-09 03:40:00,1677,False
CALL000201,9624,ST2025005210,Free UCJ Consult,2024-10-14 22:11:00,802,True
CALL000202,5766,ST2025009556,Free UCJ Consult,2024-09-25 02:06:00,715,True
CALL000203,6062,ST2025005630,Free UCJ Consult,2024-07-18 21:00:00,1196,False
CALL000204,9930,ST2025009836,Paid Vet Consult,2024-04-02 08:35:00,255,True
CALL000205,7628,ST2025005879,Free UCJ Consult,2024-03-23 09:48:00,1449,False
CALL000206,8864,ST2025004460,Free UCJ Consult,2024-12-29 14:47:00,381,False
CALL000207,2936,ST2025002880,Free UCJ Consult,2024-05-21 01:07:00,436,True
CALL000208,3185,ST2025000114,Free UCJ Consult,2024-08-20 00:18:00,917,True
CALL000209,9106,ST2025000966,Paid Vet Consult,2024-11-08 08:41:00,1527,True
CALL000210,1270,ST2025009897,Free UCJ Consult,2024-10-21 05:57:00,453,True
CALL000211,1665,ST2025006189,Paid Vet Consult,2024-06-30 12:56:00,358,False
CALL000212,2102,ST2025004249,Free UCJ Consult,2024-06-25 19:09:00,1636,False
CALL000213,7878,ST2025001897,Free UCJ Consult,2024-02-15 03:34:00,1301,True
CALL000214,1552,ST2025009493,Free UCJ Consult,2024-08-06 09:28:00,1456,True
CALL000215,6650,ST2025005257,Free UCJ Consult,2024-09-16 18:25:00,1345,False
CALL000216,2307,ST2025001194,Free UCJ Consult,2024-03-20 09:01:00,204,False
CALL000217,8984,ST2025006004,Free UCJ Consult,2024-05-19 01:20:00,1535,False
CALL000218,7010,ST2025000771,Free UCJ Consult,2024-05-23 19:19:00,1151,True
CALL000219,3667,ST2025007555,Free UCJ Consult,2024-12-18 21:12:00,1274,False
CALL000220,7944,ST2025002978,Free UCJ Consult,2024-11-27 14:21:00,646,False
CALL000221,3278,ST2025003366,Free UCJ Consult,2024-05-14 20:01:00,1643,True
CALL000222,5249,ST2025001312,Free UCJ Consult,2024-12-13 01:45:00,1523,False
CALL000223,2465,ST2025005780,Paid Vet Consult,2024-04-02 01:08:00,169,True
CALL000224,4998,ST2025008255,Paid Vet Consult,2024-05-12 09:11:00,649,True
CALL000225,3014,ST2025007639,Free UCJ Consult,2024-03-28 10:05:00,723,False
CALL000226,6264,ST2025004087,Free UCJ Consult,2024-08-14 06:19:00,871,True
CALL000227,3295,ST2025006343,Free UCJ Consult,2024-08-15 19:56:00,127,True
CALL000228,6243,ST2025009993,Paid Vet Consult,2024-02-08 10:00:00,254,True
CALL000229,6408,ST2025003444,Paid Vet Consult,2024-12-10 14:46:00,955,True
CALL000230,9661,ST2025001821,Free UCJ Consult,2024-05-28 08:26:00,671,True
CALL000231,6898,ST2025006463,Free UCJ Consult,2024-06-12 09:39:00,1185,True
CALL000232,3603,ST2025003068,Free UCJ Consult,2024-05-26 05:37:00,1735,False
CALL000233,9010,ST2025008789,Free UCJ Consult,2024-03-19 16:10:00,202,True
CALL000234,5072,ST2025001256,Paid Vet Consult,2024-09-15 19:00:00,1262,True
CALL000235,7159,ST2025003778,Free UCJ Consult,2024-05-02 00:54:00,532,True
CALL000236,3768,ST2025002602,Paid Vet Consult,2024-10-11 04:00:00,1240,False
CALL000237,7585,ST2025000043,Paid Vet Consult,2024-03-23 08:12:00,1435,False
CALL000238,1126,ST2025009119,Free UCJ Consult,2024-01-28 23:09:00,921,True
CALL000239,3072,ST2025009804,Free UCJ Consult,2024-06-10 18:45:00,1374,False
CALL000240,9837,ST2025003688,Paid Vet Consult,2024-03-04 22:50:00,1447,True
CALL000241,5796,ST2025002135,Free UCJ Consult,2024-06-17 20:07:00,848,True
CALL000242,3282,ST2025006977,Free UCJ Consult,2024-01-10 12:30:00,1067,True
CALL000243,2797,ST2025009193,Free UCJ Consult,2024-05-08 07:53:00,1706,True
CALL000244,5440,ST2025005973,Paid Vet Consult,2024-09-14 02:36:00,247,False
CALL000245,5858,ST2025009654,Free UCJ Consult,2024-12-02 01:34:00,1787,False
CALL000246,5136,ST2025007415,Paid Vet Consult,2024-04-21 16:28:00,557,False
CALL000247,2391,ST2025006395,Free UCJ Consult,2024-06-20 06:58:00,1398,True
CALL000248,6540,ST2025007228,Free UCJ Consult,2024-08-09 11:25:00,1504,False
CALL000249,2447,ST2025005036,Free UCJ Consult,2024-08-22 15:56:00,724,True
CALL000250,7533,ST2025002082,Free UCJ Consult,2024-12-30 04:12:00,922,False
CALL000251,4521,ST2025003660,Free UCJ Consult,2024-12-23 06:55:00,1572,True
CALL000252,9802,ST2025009717,Free UCJ Consult,2024-03-15 16:57:00,637,True
CALL000253,3102,ST2025003993,Free UCJ Consult,2024-04-08 22:23:00,256,True
CALL000254,8282,ST2025002779,Paid Vet Consult,2024-09-08 07:19:00,141,False
CALL000255,4872,ST2025003173,Paid Vet Consult,2024-12-06 22:42:00,272,False
CALL000256,3171,ST2025002626,Free UCJ Consult,2024-12-07 08:27:00,424,True
CALL000257,4697,ST2025000785,Free UCJ Consult,2024-10-10 01:31:00,398,True
CALL000258,4901,ST2025006546,Free UCJ Consult,2024-12-23 05:28:00,1659,True
CALL000259,5072,ST2025004897,Free UCJ Consult,2024-10-29 05:23:00,974,False
CALL000260,2997,ST2025009993,Paid Vet Consult,2024-02-16 14:38:00,1130,True
CALL000261,5179,ST2025001970,Free UCJ Consult,2024-10-04 04:55:00,502,True
CALL000262,9724,ST2025003562,Free UCJ Consult,2024-06-26 02:14:00,223,False
CALL000263,8647,ST2025002220,Free UCJ Consult,2024-09-12 18:03:00,979,True
CALL000264,8597,ST2025007794,Free UCJ Consult,2024-05-10 09:30:00,1028,True
CALL000265,7869,ST2025009956,Free UCJ Consult,2024-05-14 12:56:00,999,False
CALL000266,8259,ST2025000024,Free UCJ Consult,2024-07-19 12:09:00,1526,True
CALL000267,6432,ST2025004831,Free UCJ Consult,2024-11-25 17:59:00,383,True
CALL000268,8190,ST2025000322,Paid Vet Consult,2024-03-07 22:59:00,898,False
CALL000269,4768,ST2025000928,Free UCJ Consult,2024-09-17 08:33:00,1171,False
CALL000270,1768,ST2025003261,Paid Vet Consult,2024-12-29 09:57:00,157,True
CALL000271,6093,ST2025005924,Paid Vet Consult,2024-06-05 13:19:00,1399,True
CALL000272,9534,ST2025008071,Free UCJ Consult,2024-08-02 03:44:00,658,True
CALL000273,7199,ST2025006635,Paid Vet Consult,2024-02-02 09:31:00,1751,False
CALL000274,5673,ST2025006825,Free UCJ Consult,2024-01-21 02:05:00,798,True
CALL000275,3950,ST2025003375,Free UCJ Consult,2024-11-05 11:32:00,1377,True
CALL000276,8727,ST2025000404,Free UCJ Consult,2024-11-21 02:40:00,1329,False
CALL000277,5798,ST2025000348,Free UCJ Consult,2024-07-08 11:16:00,138,True
CALL000278,9712,ST2025007137,Free UCJ Consult,2024-04-04 06:01:00,963,False
CALL000279,9264,ST2025002986,Free UCJ Consult,2024-07-26 22:32:00,1095,False
CALL000280,8869,ST2025006759,Paid Vet Consult,2024-02-06 07:48:00,1126,True
CALL000281,5008,ST2025002511,Free UCJ Consult,2024-02-23 15:22:00,1549,False
CALL000282,8449,ST2025003203,Free UCJ Consult,2024-02-02 19:06:00,682,True
CALL000283,8833,ST2025007529,Free UCJ Consult,2024-01-30 17:56:00,1475,True
CALL000284,3151,ST2025001662,Free UCJ Consult,2024-04-10 05:00:00,1799,True
CALL000285,2094,ST2025009484,Free UCJ Consult,2024-06-18 15:51:00,183,True
CALL000286,3744,ST2025004800,Paid Vet Consult,2024-07-03 12:19:00,1072,True
CALL000287,4201,ST2025003034,Free UCJ Consult,2024-02-02 14:06:00,617,True
CALL000288,3803,ST2025003262,Free UCJ Consult,2024-10-19 21:35:00,1280,False
CALL000289,6411,ST2025000973,Paid Vet Consult,2024-05-18 20:50:00,1581,False
CALL000290,6340,ST2025005728,Free UCJ Consult,2024-09-08 10:17:00,166,True
CALL000291,9613,ST2025004603,Paid Vet Consult,2024-07-13 03:33:00,1120,True
CALL000292,3785,ST2025006758,Free UCJ Consult,2024-05-17 09:17:00,1640,True
CALL000293,5151,ST2025001588,Free UCJ Consult,2024-05-03 05:28:00,590,True
CALL000294,4097,ST2025009705,Free UCJ Consult,2024-06-04 07:26:00,222,True
CALL000295,6984,ST2025003775,Free UCJ Consult,2024-08-31 21:57:00,199,False
CALL000296,4963,ST2025009982,Free UCJ Consult,2024-12-19 12:29:00,1162,False
CALL000297,7450,ST2025001296,Free UCJ Consult,2024-11-16 09:41:00,1748,True
CALL000298,1421,ST2025006888,Free UCJ Consult,2024-05-10 19:06:00,941,True
CALL000299,7971,ST2025002143,Free UCJ Consult,2024-09-18 18:25:00,1249,True
CALL000300,9721,ST2025005399,Free UCJ Consult,2024-09-25 21:48:00,1258,True
CALL000301,2519,ST2025000505,Free UCJ Consult,2024-05-23 05:22:00,428,False
CALL000302,9384,ST2025000367,Free UCJ Consult,2024-08-10 10:24:00,579,False
CALL000303,2045,ST2025007889,Paid Vet Consult,2024-12-07 12:19:00,328,True
CALL000304,4182,ST2025000628,Free UCJ Consult,2024-04-29 18:10:00,840,True
CALL000305,6093,ST2025000685,Paid Vet Consult,2024-05-26 04:49:00,1750,True
CALL000306,5587,ST2025007190,Free UCJ Consult,2024-12-05 20:22:00,97,False
CALL000307,7376,ST2025001952,Paid Vet Consult,2024-12-22 10:00:00,1106,True
CALL000308,6559,ST2025009006,Free UCJ Consult,2024-10-12 01:08:00,1672,True
CALL000309,7437,ST2025002594,Free UCJ Consult,2024-11-21 02:24:00,99,True
CALL000310,3237,ST2025003795,Free UCJ Consult,2024-04-17 02:19:00,1646,True
CALL000311,1626,ST2025000025,Free UCJ Consult,2024-01-08 06:39:00,1593,True
CALL000312,1146,ST2025004499,Free UCJ Consult,2024-03-10 02:19:00,1505,False
CALL000313,8939,ST2025002296,Free UCJ Consult,2024-10-21 07:00:00,158,False
CALL000314,6493,ST2025009507,Free UCJ Consult,2024-05-10 04:47:00,660,True
CALL000315,9007,ST2025006357,Paid Vet Consult,2024-06-25 00:52:00,194,True
CALL000316,3365,ST2025000719,Free UCJ Consult,2024-05-20 06:30:00,1032,True
CALL000317,2888,ST2025004779,Free UCJ Consult,2024-11-07 09:02:00,174,False
CALL000318,9874,ST2025006697,Free UCJ Consult,2024-10-25 09:00:00,413,True
CALL000319,1539,ST2025006799,Free UCJ Consult,2024-04-13 02:15:00,1277,True
